,name,latitude,longitude,type,distance
64,DeVry University,41.882868,-87.634926,Community College,278
65,iRepair Chicago,41.882856,-87.635012,College Technology Building,282
66,DeVry University Chicago Loop Center,41.882902,-87.635073,College and University,288
67,Bright Horizons at Cook County/City of Chicago Child Development Center,41.88269,-87.629507,Daycare,295
68,Landmark Education,41.88666,-87.634938,Education,317
69,Northern Il University,41.881818,-87.63109,College and University,318
70,Premier3 STEM Foundation,41.883502,-87.628763,Elementary School,320
71,Daniel Murphy Scholarship Fund,41.882979,-87.635687,Education,321
72,QRM,41.88164,-87.633427,Education,331
73,Barbri,41.882171,-87.629083,College and University,378
74,The Krupnick Approach,41.887872,-87.631276,Education,384
75,Chicago Computer Classes,41.88822,-87.633067,Computer Training School,415
76,The Chicago School of Professional Psychology,41.888178,-87.633731,Community College,417
77,ABA TIPS Committee on Outreach to Law Students - COOLS,41.888237,-87.630313,Education,447
78,Circle Foundation,41.882698,-87.627407,Elementary School,459
79,Coyne College,41.882354,-87.627471,College and University,482
80,Chicago School-Pro Psychology,41.888386,-87.635339,High School,494
81,Humanities & Sciences Academy Illinois,41.88652,-87.62684,High School,510
82,Educare Schools,41.880432,-87.628769,Preschool,544
83,Center For Effective Commuication,41.88294,-87.62577,Education,575
84,Tcs Education Systems,41.888339,-87.637539,College and University,601
85,Alain Locke Charter School Chicago,41.884772,-87.625075,Education,606
86,Seminary Consortium for Urban Pastoral Education,41.886077,-87.624927,College and University,641
87,Guitar Chicago,41.884845,-87.624964,Music School,643
88,SAIC Korean Student Advising,41.880985,-87.625789,College and University,672
89,Divine Wisdom Inst For Learning,41.885185,-87.624174,Child Care Service,684
